"City","City_latitude","City_longitude","State","Airport","Airport_latitude","Airport_longitude","iata_code"
"Dowlaiswaram","16.9556","81.7931","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Rapur","14.2015","79.5351","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Nandigama","16.7833","80.3","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ananipalle","13.4902","79.2895","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Janakammapeta","15.0125","79.8439","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Addanki","15.8167","79.9833","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Nidadavole","16.92","81.67","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ramachandrapuram","16.85","82.02","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Alluru","15.1336","78.4975","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pileru","13.6549","78.9471","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Vavveru","14.5594","79.8725","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Erramvaripalem","15.8495","80.3861","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Amudalavalasa","18.4167","83.9","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Atmakur","15.8779","78.5884","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kovvur","17.017","81.731","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Betamcherla","15.4667","78.1667","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Penumur","13.3667","79.1833","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Vetapalem","15.78","80.32","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Buchireddipalem","14.538","79.875","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kanigiri","15.4","79.5167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kadiyam","16.9167","81.8333","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Dachepalle","16.6","79.7333","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ichchapuram","19.12","84.7","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Vempalle","14.3667","78.4667","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Uravakonda","14.95","77.27","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
