City,City_latitude,City_longitude,State,Airport ,Airport _latitude,Airport _longitude,iata_code,Distance
Bapatla,15.9044,80.4675,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,238.9691069
Badvel,14.75,79.05,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,40.02215983
Piduguralla,16.4793,79.8863,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,249.3702301
Pulivendla,14.4194,78.225,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,59.83378464
Tadepalle,16.4803,80.6186,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,295.149955
Pamuru,15.097,79.409,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,94.54287837
Nagari,13.3214,79.5856,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,158.6314589
Razampeta,14.1954,79.159,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,54.35742332
Chandralapadu,16.715,80.2089,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,289.4227397
Ponnuru,16.0667,80.5667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,258.8114856
Vinukonda,16.05,79.75,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,200.7728623
Dhone,15.396,77.872,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,138.0949564
Narasapur,16.4361,81.7016,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,379.9592529
Palasa,18.7731,84.4078,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,764.777121
Macherla,16.48,79.43,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,230.0945511
Kandukur,15.2167,79.9042,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,144.7792195
Samalkot,17.0531,82.1695,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,460.4764144
Bobbili,18.5667,83.3667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,665.6831535
Sattenapalle,16.3962,80.1497,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,256.4449347
Mandapeta,16.87,81.93,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,427.8744371
Atchampeta,15.5412,78.9503,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,116.2382102
Bhimunipatnam,17.8846,83.4393,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,623.7009933
Pithapuram,17.1167,82.2667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,472.9795122
Punganuru,13.3667,78.5833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,128.7632008
Puttur,13.45,79.55,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,144.6558442
Palmaner,13.2,78.75,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,145.6861122
Parvatipuram,18.78,83.425,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,686.2421171
Mansala,15.9417,77.4281,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,214.8424318
Jaggayyapeta,16.892,80.0976,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,300.4371052
Amalapuram,16.5787,82.0061,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,415.7799514
Venkatagiri,13.9667,79.5833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,106.2112396
Jiyyammavalasa,18.8186,83.5797,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,701.1162612
Zangareddigudem,17.1229,81.2953,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,396.5205425
Repalle,16.0172,80.8294,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,277.049212
Sulleru,18.5333,83.2167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,651.4934772
Peddapuram,17.08,82.13,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,458.985433
Prattipadu,16.1878,80.3392,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,251.0288056
Jaggisettigudem,17.1167,81.3,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,396.3613455
Guntakal Junction,15.1711,77.3624,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,168.4777113
Gooty,15.121,77.634,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,140.0054181
Nandikotkur,15.867,78.267,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,160.3556241
Vuyyuru,16.3667,80.85,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,303.6243014
Jammalamadugu,14.85,78.38,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,56.69498637
Gollalagunta,17.1672,82.2847,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,477.9152215
Nayudupet,13.9,79.9,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,139.1579364
Alamuru,16.7833,81.9,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,419.5218365
Dowlaiswaram,16.9556,81.7931,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,422.4069283
Rapur,14.2015,79.5351,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,88.99601909
Nandigama,16.7833,80.3,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,301.0544813
Ananipalle,13.4902,79.2895,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,126.3595651
Janakammapeta,15.0125,79.8439,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,128.0100737
Addanki,15.8167,79.9833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,194.9081911
Nidadavole,16.92,81.67,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,409.8352761
Ramachandrapuram,16.85,82.02,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,434.2011814
Alluru,15.1336,78.4975,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,75.39115703
Pileru,13.6549,78.9471,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,96.92370013
Vavveru,14.5594,79.8725,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,118.4969758
Erramvaripalem,15.8495,80.3861,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,228.3819357
Amudalavalasa,18.4167,83.9,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,698.1958821
Atmakur,15.8779,78.5884,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,153.3849025
Kovvur,17.017,81.731,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,421.7869028
Betamcherla,15.4667,78.1667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,124.7183164
Penumur,13.3667,79.1833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,134.6274872
Vetapalem,15.78,80.32,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,217.9893222
Buchireddipalem,14.538,79.875,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,118.6852699
Kanigiri,15.4,79.5167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,127.2027677
Kadiyam,16.9167,81.8333,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,422.9829324
Dachepalle,16.6,79.7333,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,254.1536278
Ichchapuram,19.12,84.7,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,812.7086912
Vempalle,14.3667,78.4667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,36.60922033
Uravakonda,14.95,77.27,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,168.852502
Giddalur,15.3764,78.9251,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,97.71922027
Allagadda,15.1322,78.5138,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,74.5764064
Madakalavaripalli,14.7475,79.0843,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,42.67059369
Tiruvur,17.1,80.6,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,348.0682872
Narsipatnam,17.665,82.614,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,539.8546273
Darsi,15.7667,79.6833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,170.5224854
Kondapalle,16.6183,80.5411,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,301.3842438
Elesvaram,17.2833,82.1,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,470.8202691
Erraguntla,14.6333,78.5333,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,29.19229198
Kalyandrug,14.55,77.1,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,180.1100731
Kovur,14.5001,79.9859,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,130.5976448
Akividu,16.5823,81.3811,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,362.1634045
Podili,15.604,79.608,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,151.1321172
Tummapala,17.7166,82.9965,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,575.0185724
Tekkali,18.6057,84.2355,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,739.0576261
Pedana,16.2667,81.1667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,322.5177649
Chimakurti,15.5149,80.0368,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,175.8257864
Kaluvaya,14.5,79.4167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,69.32731813
Sarpavaram,17.0102,82.225,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,462.3249693
Ibrahimpatnam,16.583,80.5143,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,296.5374904
Atmakur,14.6167,79.6167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,91.59616539
Pattikonda,15.4,77.5167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,167.3373735
Nalakadoddi,15.4,77.5167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,167.3373735
Ramanayyapeta,17.3203,82.1014,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,473.612172
Srungavarapukota,18.1167,83.1667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,616.9412119
Tanguturu,15.35,80.05,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,165.9962714
Suluru,13.7,80.018,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,161.6941236
Penukonda,14.085,77.596,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,135.3187851
Parimpudi,17.1171,81.4342,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,406.3202712
Payakaraopeta,17.3627,82.5572,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,514.1038815
Pamidi,14.95,77.5833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,136.9540723
Mamidalapadu,15.831,78.05,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,166.1108175
Narasannapeta,18.4167,84.05,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,710.7837737
Buddayyakota,13.8196,78.1729,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,100.3809731
Kottakota,13.6592,78.2467,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,110.314385
Guruzala,16.58,79.57,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,245.5050321
Guduru,15.775,77.807,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,174.7305602
Renigunta,13.65,79.52,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,125.0575296
Chintalapudi,17.0417,80.5901,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,342.1372819
Poranki,16.4743,80.7128,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,301.5245662
Attili,16.7,81.6,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,388.540585
Vodurivandlagudem,16.4286,81.133,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,330.8814072
Maduru,14.7616,78.6171,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,32.6071296
Pata Kalidindi,16.5014,81.2908,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,349.0204253
Gorantla,13.9892,77.7703,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,122.5820341
Kottapeta,16.7167,81.9,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,415.1469501
Aklvidu,16.6,81.3833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,363.5905393
Vinnamala,13.9074,79.9086,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,139.5694786
Singarayakonda,15.25,80.0203,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,157.302467
Mogalturru,16.4167,81.6,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,369.7881771
Ukkayapalle,14.4898,78.8927,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,13.10370914
Kosigi,15.85,77.2667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,219.8237628
Sundararaopeta,16.8031,81.6419,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,399.2076972
Yadiki,15.05,77.88,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,113.2211123
Koilkuntla,15.2333,78.3167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,94.18589567
Tirumala,13.6833,79.35,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,111.019354
Avanigadda,16.0197,80.92,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,285.0110435
Mummidivaram,16.65,82.1167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,429.9819909
Kotturu,17.0436,81.7705,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,426.8976296
Gollapudi,16.5412,80.5784,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,297.3719445
Patakakani,16.34,80.4908,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,274.437219
Ravulapalem,16.4833,81.9833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,408.0141585
Velugodu,15.7817,78.6892,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,141.6908439
Kanchika,16.6856,80.3892,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,297.4703681
